File_Name,Bbox,Height,Width,Quad
train_673.png,"[1453.9245283018868, 332.2452830188679, 624.5283018867922, 467.92452830188677]",1316,2965,Upper Left
train_673.png,"[918.0754716981131, 356.7735849056603, 556.6037735849058, 450.9433962264152]",1316,2965,Upper Right
train_673.png,"[1506.754716981132, 505.8301886792452, 733.9622641509434, 632.0754716981131]",1316,2965,Lower Left
train_673.png,"[733.1698113207547, 541.6792452830189, 792.4528301886792, 611.3207547169811]",1316,2965,Lower Right
train_283.png,"[1480.25, 203.375, 668.75, 481.25]",1316,3001,Upper Left
train_283.png,"[845.875, 272.125, 643.75, 425.0]",1316,3001,Upper Right
train_283.png,"[1505.25, 387.75, 803.125, 671.875]",1316,3001,Lower Left
train_283.png,"[705.25, 484.625, 853.125, 584.375]",1316,3001,Lower Right
train_435.png,"[459.25, 235.25, 503.75, 318.75]",976,1976,Upper Right
train_435.png,"[958.0, 216.5, 473.75, 340.0]",976,1976,Upper Left
train_435.png,"[968.0, 420.25, 545.0, 352.5]",976,1976,Lower Left
train_435.png,"[411.75, 435.25, 561.25, 340.0]",976,1976,Lower Right
train_95.png,"[596.9811320754717, 13.660377358490564, 933.9622641509433, 494.33962264150944]",1316,2979,Upper Right
train_95.png,"[1525.2830188679245, 11.773584905660357, 801.8867924528299, 545.2830188679245]",1316,2979,Upper Left
train_95.png,"[1500.754716981132, 404.2264150943396, 792.4528301886792, 430.18867924528297]",1316,2979,Lower Left
train_95.png,"[625.2830188679245, 402.33962264150944, 875.4716981132076, 452.8301886792452]",1316,2979,Lower Right
train_475.png,"[810.5283018867924, 285.35849056603774, 677.3584905660377, 513.2075471698113]",1316,2991,Upper Right
train_475.png,"[1486.0, 317.43396226415086, 632.0754716981132, 484.90566037735846]",1316,2991,Upper Left
train_475.png,"[1478.4528301886792, 489.13207547169804, 781.1320754716983, 626.4150943396226]",1316,2991,Lower Left
train_475.png,"[682.2264150943396, 504.2264150943396, 805.6603773584906, 624.5283018867925]",1316,2991,Lower Right
train_62.png,"[1386.9999999999998, 310.9999999999999, 768.5714285714287, 405.71428571428567]",1316,2765,Upper Left
train_62.png,"[604.1428571428571, 359.57142857142844, 788.5714285714284, 362.8571428571429]",1316,2765,Upper Right
train_62.png,"[1401.2857142857142, 573.8571428571427, 882.8571428571427, 557.1428571428571]",1316,2765,Lower Left
train_62.png,"[498.4285714285714, 551.0, 965.7142857142858, 585.7142857142856]",1316,2765,Lower Right
train_637.png,"[668.090909090909, 312.5757575757575, 727.2727272727273, 403.030303030303]",1316,2830,Upper Right
train_637.png,"[1386.2727272727273, 300.4545454545454, 790.9090909090908, 421.21212121212113]",1316,2830,Upper Left
train_637.png,"[1398.3939393939393, 627.7272727272727, 796.9696969696968, 445.45454545454527]",1316,2830,Lower Left
train_637.png,"[655.9696969696969, 615.6060606060605, 818.1818181818181, 469.69696969696975]",1316,2830,Lower Right
train_187.png,"[1503.0, 384.91666666666674, 666.666666666667, 429.16666666666674]",1316,2990,Upper Left
train_187.png,"[859.25, 378.66666666666674, 656.25, 441.66666666666674]",1316,2990,Upper Right
train_187.png,"[1525.9166666666667, 605.75, 772.9166666666667, 510.41666666666674]",1316,2990,Lower Left
train_187.png,"[736.3333333333334, 574.5, 822.9166666666666, 550.0]",1316,2990,Lower Right
train_509.png,"[581.6470588235294, 249.76470588235293, 811.7647058823528, 479.4117647058822]",1316,2754,Upper Right
train_509.png,"[1390.470588235294, 246.82352941176464, 785.2941176470588, 491.17647058823536]",1316,2754,Upper Left
train_509.png,"[1396.3529411764705, 593.8823529411764, 788.2352941176471, 426.47058823529414]",1316,2754,Lower Left
train_509.png,"[596.3529411764705, 593.8823529411764, 850.0, 476.47058823529414]",1316,2754,Lower Right
train_31.png,"[667.5762711864407, 254.84745762711867, 706.7796610169493, 484.7457627118644]",1316,2698,Upper Right
train_31.png,"[1364.1864406779662, 287.0508474576271, 693.2203389830509, 454.2372881355933]",1316,2698,Upper Left
train_31.png,"[1328.5932203389832, 612.4745762711865, 818.64406779661, 503.3898305084746]",1316,2698,Lower Left
train_31.png,"[574.3559322033899, 556.542372881356, 762.7118644067797, 566.1016949152543]",1316,2698,Lower Right
train_498.png,"[430.5, 244.0, 540.0, 308.75]",976,1976,Upper Right
train_498.png,"[949.25, 242.75, 526.25, 310.0]",976,1976,Upper Left
train_498.png,"[984.25, 456.5, 483.75, 326.25]",976,1976,Lower Left
train_498.png,"[386.75, 436.5, 598.75, 357.5]",976,1976,Lower Right
train_264.png,"[1459.8181818181818, 175.09090909090907, 729.0909090909088, 556.3636363636363]",1316,2881,Upper Left
train_264.png,"[663.4545454545454, 222.36363636363632, 799.9999999999999, 516.3636363636363]",1316,2881,Upper Right
